Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa de Lugo  45-47 ,15810 ,Arzúa ,A Coruña ,Galicia ,881 99 60 03  881 99 60 04 ,881 99 60 07 ,mixto1.arzua@xustiza.gal ,RODRIGUEZ CARLIN  MARIA EUGENIA
Juzgado de Primera Instancia e Instrucción Único ,Praza Maior  s/n ,32400 ,Ribadavia ,Ourense ,Galicia ,988 68 75 58  988 68 75 57 ,988 68 75 59 ,mixto1.ribadavia@xustiza.gal ,CORRAL DE BURGOS  GLORIA MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa Irmáns Moreno  7 ,32600 ,Verín ,Ourense ,Galicia ,988 68 73 77  988 68 73 79 ,988 68 73 82 ,mixto1.verin@xustiza.gal ,OREJAS GOMEZ  CRISTINA
Juzgado de Primera Instancia e Instrucción nº 2 ,Rúa Irmáns Moreno  7 ,32600 ,Verín ,Ourense ,Galicia ,988 68 73 85  988 68 73 86 ,988 68 73 87 ,mixto2.verin@xustiza.gal ,NUÑEZ CAMINERO  MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Manuela Rizo  1 ,34120 ,Carrión de los Condes ,Palencia ,Castilla y León ,979 88 06 46  979 88 06 36 ,979 88 02 05 ,mixto1.carriondeloscondes@justicia.es ,LAZARO RODRIGUEZ  PALOMA
Juzgado de Primera Instancia e Instrucción nº 1 ,C/ Cueva de la Virgen  s/n ,34840 ,Cervera de Pisuerga ,Palencia ,Castilla y León ,979 87 00 06  979 87 44 51 ,979 87 07 50 ,mixto1.cerveradepisuerga@justicia.es ,GARCIA LIEBANA  MARTA ELENA
Juzgado de Primera Instancia e Instrucción nº 2 ,C/ Cueva de la Virgen  s/n ,34840 ,Cervera de Pisuerga ,Palencia ,Castilla y León ,979 87 00 59  979 87 44 67 ,979 87 04 49 ,mixto2.cerveradepisuerga@justicia.es ,GARCIA DEL CURA  CARLA
Audiencia Provincial Civil-penal Única ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 01 ,979 74 64 56 ,audiencia.s1.palencia@justicia.es ,BUGIDOS SAN JOSE  MAURICIO
Audiencia Provincial Presidencia ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 02 ,979 74 64 56 ,Más información ,RAFOLS PEREZ  IGNACIO JAVIER
Juzgado de Primera Instancia e Instrucción nº 1 ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 22 ,979 74 21 47 ,mixto1.palencia@justicia.es ,MARTIN GALLEGO  PALOMA
Juzgado de Primera Instancia e Instrucción nº 2 ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 30 ,979 74 21 47 ,mixto2.palencia@justicia.es ,GONZALEZ VILLAR  JESUS MANUEL
Juzgado de Primera Instancia e Instrucción nº 3 ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 35 ,979 74 21 47 ,mixto3.palencia@justicia.es ,MARTINEZ GARCIA  GABRIEL
Juzgado de Primera Instancia e Instrucción nº 4 ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 40 ,979 74 81 37 ,mixto4.palencia@justicia.es ,SERNA GALLARDO  MARIA JESUS
Juzgado de Primera Instancia e Instrucción nº 5 ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 46 ,979 74 81 37 ,mixto5.palencia@justicia.es ,ALVAREZ BUSTILLO  ROSA
Juzgado de Primera Instancia e Instrucción nº 6 ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 81 ,979 74 81 37 ,mixto6.palencia@justicia.es ,GONZALEZ ENCINAS  MARIA DEL SOL
Juzgado de Primera Instancia e Instrucción nº 7 ,Plaza de los Juzgados  s/n ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 76 99 ,979 74 81 37 ,mixto7.palencia@justicia.es ,ROMAN AITA  MARIA ELENA
Juzgado de lo Social nº 1 ,C/ Menéndez Pelayo  2 ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 60 ,979 74 35 47 ,social1.palencia@justicia.es ,MORATA ESCALONA  MARIA DEL PILAR
Juzgado de lo Social nº 2 ,C/ Menéndez Pelayo  2 ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 60 ,979 74 35 47 ,social2.palencia@justicia.es ,GOMEZ ALONSO  ESTHER
Juzgado de lo Contencioso-Administrativo nº 1 ,C/ Menéndez Pelayo  2 ,34001 ,Palencia ,Palencia ,Castilla y León ,979 72 22 53 ,979 72 29 04 ,contencioso1.palencia@justicia.es ,LUCIO REVILLA  VICTORIANO
Juzgado de lo Penal nº 1 ,C/ Menéndez Pelayo  2 ,34001 ,Palencia ,Palencia ,Castilla y León ,979 16 77 73 ,979 16 87 94 ,penal1.palencia@justicia.es ,MARTINEZ MORENO  JORGE
Juzgado de Vigilancia Penitenciaria nº 4 ,C/ Menéndez Pelayo  2 ,34001 ,Palencia ,Palencia ,Castilla y León ,979 74 24 50 ,979 74 49 19 ,vigilancia4.palencia@justicia.es ,ROMAN DE LA CUESTA GALDIZ  MARIA TERESA
Juzgado de Menores nº 1 ,C/ Menéndez Pelayo  2 ,34001 ,Palencia ,Palencia ,Castilla y León ,979 71 25 73 ,979 71 29 03 ,menores1.palencia@justicia.es ,LOPEZ DE SAN ROMAN REGOYOS  AGUSTIN LUIS
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. Román López  5 ,36650 ,Caldas de Reis ,Pontevedra ,Galicia ,886 20 66 25  886 20 66 23 ,886 20 66 27 ,mixto1.caldas@xustiza.gal ,DIAZ PETEIRO  MARCOS
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. Román López  5 ,36650 ,Caldas de Reis ,Pontevedra ,Galicia ,886 20 66 30  886 20 66 32 ,886 20 66 34 ,mixto2.caldas@xustiza.gal ,SIABA CRESPO  SABELA
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa Pardo Bazán  31 ,36630 ,Cambados ,Pontevedra ,Galicia ,886 20 60 49  886 20 60 47 ,886 20 60 51 ,mixto1.cambados@xustiza.gal ,MARTINEZ ALVAREZ  MARIO SECUNDINO
Juzgado de Primera Instancia e Instrucción nº 2 ,Rúa Pardo Bazán  31 ,36630 ,Cambados ,Pontevedra ,Galicia ,886 20 60 54  886 20 60 55 ,886 20 60 58 ,mixto2.cambados@xustiza.gal ,GARCIA GOMEZ  MARTA
Juzgado de Primera Instancia e Instrucción nº 3 ,Rúa Pardo Bazán  31 ,36630 ,Cambados ,Pontevedra ,Galicia ,886 20 60 61  886 20 60 62 ,886 20 60 65 ,mixto3.cambados@xustiza.gal ,CARAMES BLANCO  MARIA JOSE
Juzgado de Primera Instancia e Instrucción nº 4 ,Rúa Pardo Bazán  31 ,36630 ,Cambados ,Pontevedra ,Galicia ,886 20 60 71  886 20 60 69 ,886 20 60 72 ,mixto4.cambados@xustiza.gal ,FERNANDEZ DE LANDA PONTE  LUZ MARIA
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. de Galicia  1 ,36940 ,Cangas ,Pontevedra ,Galicia ,886 21 80 23  886 21 80 22 ,886 21 80 26 ,mixto1.cangas@xustiza.gal ,PLATAS SEOANE  SONIA MARIA
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. de Galicia  1 ,36940 ,Cangas ,Pontevedra ,Galicia ,886 21 80 29  886 21 80 30 ,886 21 80 33 ,mixto2.cangas@xustiza.gal ,MIGUEZ ALVAREZ  PALOMA
Juzgado de Primera Instancia e Instrucción nº 3 ,Avda. de Galicia  1 ,36940 ,Cangas ,Pontevedra ,Galicia ,886 21 80 37  886 21 80 36 ,886 21 80 40 ,mixto3.cangas@xustiza.gal ,PEREZ LAYA  DAVID
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. Benito Vigo  53 ,36680 ,Estrada (A) ,Pontevedra ,Galicia ,886 20 64 82  886 20 64 83 ,886 20 64 86 ,mixto1.aestrada@xustiza.gal ,LOPEZ FERNANDEZ  RICARDO ANTONIO
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. Benito Vigo  53 ,36680 ,Estrada (A) ,Pontevedra ,Galicia ,886 20 62 63  886 20 62 65 ,886 20 62 62 ,mixto2.aestrada@xustiza.gal ,IGLESIAS CEREIJO  ALEJANDRA
Juzgado de Primera Instancia e Instrucción nº 1 ,Regueiriño  s/n ,36500 ,Lalín ,Pontevedra ,Galicia ,886 20 62 32  886 20 62 33 ,886 20 62 36 ,mixto1.lalin@xustiza.gal ,RIVEIROS SANTIAGO  CARMEN
Juzgado de Primera Instancia e Instrucción nº 2 ,Regueiriño  s/n ,36500 ,Lalín ,Pontevedra ,Galicia ,886 20 62 39  886 20 62 40 ,886 20 62 43 ,mixto2.lalin@xustiza.gal ,YEBRA-PIMENTEL LOPEZ  LUCIA ISABEL
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. de Ourense  s/n ,36900 ,Marín ,Pontevedra ,Galicia ,886 20 62 77  886 20 62 78 ,886 20 62 81 ,mixto1.marin@xustiza.gal ,GARCIA DIEZ  ELENA
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. de Ourense  s/n ,36900 ,Marín ,Pontevedra ,Galicia ,886 20 62 84  886 20 62 85 ,886 20 62 88 ,mixto2.marin@xustiza.gal ,GONZALEZ CAMBA  NOEMI
Audiencia Provincial Civil nº 1 ,Rúa Rosalía de Castro  5 ,36001 ,Pontevedra ,Pontevedra ,Galicia ,986 80 51 09  986 80 51 10 ,986 80 39 62 ,seccion1.ap.pontevedra@xustiza.gal ,ALMENAR BELENGUER  MANUEL
Audiencia Provincial Penal nº 2 ,Rúa Rosalía de Castro  5 ,36001 ,Pontevedra ,Pontevedra ,Galicia ,986 80 51 18  986 80 51 19 ,986 80 51 14 ,seccion2.ap.pontevedra@xustiza.gal ,BARREIRO PRADO  JOSE JUAN RAMON
Audiencia Provincial Civil nº 3 ,Rúa Rosalía de Castro  5 ,36001 ,Pontevedra ,Pontevedra ,Galicia ,986 80 51 28  986 80 51 27 ,986 80 51 23 ,seccion3.ap.pontevedra@xustiza.gal ,ESAIN MANRESA  JAIME
Audiencia Provincial Penal nº 4 ,Rúa Rosalía de Castro  5 ,36001 ,Pontevedra ,Pontevedra ,Galicia ,986 80 51 36  986 80 51 37 ,986 80 51 32 ,seccion4.ap.pontevedra@xustiza.gal ,CID GUEDE  MARIA NELIDA
Audiencia Provincial Presidencia ,Rúa Rosalía de Castro  5 ,36001 ,Pontevedra ,Pontevedra ,Galicia ,986 80 51 08  986 80 51 10 ,986 80 51 02 ,seccion1.ap.pontevedra@xustiza.gal ,MENENDEZ ESTÉBANEZ  FRANCISCO JAVIER
Juzgado de Primera Instancia nº 1 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 58 96  986 80 58 91 ,986 80 58 92 ,instancia1.pontevedra@xustiza.gal ,GONZALEZ DE LOS SANTOS  MARIA ANGELES
Juzgado de Primera Instancia nº 2 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 57 93  986 80 57 94 ,986 80 57 92 ,instancia2.pontevedra@xustiza.gal ,CRESPO GUTIERREZ  MIGUEL ANGEL
Juzgado de Primera Instancia nº 3 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 57 82  986 80 57 83 ,986 80 58 89 ,instancia3.pontevedra@xustiza.gal ,DELGADO MORO  CRISTINA
Juzgado de Primera Instancia nº 4 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 57 77  986 80 57 78 ,986 80 57 79 ,instancia4.pontevedra@xustiza.gal ,NOVOA SANTAS  MARIA DEL CARMEN
Juzgado de Primera Instancia nº 5 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,886 20 64 04  886 20 64 05 ,886 20 64 08 ,instancia5.pontevedra@xustiza.gal ,FELICES ESTEBAN  MARIA DEL MAR
Juzgado de Instrucción nº 1 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 59 78  986 80 59 79 ,986 80 59 77 ,instrucion1.pontevedra@xustiza.gal ,SUAREZ BEREA  CASILDA
Juzgado de Instrucción nº 2 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 57 98  986 80 57 99 ,986 80 57 65 ,instrucion2.pontevedra@xustiza.gal ,VARELA CASTEJON  XERMAN
Juzgado de Instrucción nº 3 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 57 86  986 80 57 87 ,986 80 57 85 ,instrucion3.pontevedra@xustiza.gal ,GARCIA PRADO  ROSA
Juzgado de lo Social nº 1 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 56 72  986 80 56 73 ,986 80 56 74 ,social1.pontevedra@xustiza.gal ,GRACIA LAFAJA  ALEJANDRO
Juzgado de lo Social nº 2 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 51 50  986 80 51 49 ,986 80 51 47 ,social2.pontevedra@xustiza.gal ,DOVAL LORENTE  EVA MARIA
Juzgado de lo Social nº 3 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 56 83  986 80 56 84 ,986 80 56 80 ,social3.pontevedra@xustiza.gal ,CABEZAS LEFLER  FERNANDO
Juzgado de lo Social nº 4 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,886 20 64 23  886 20 64 24 ,886 20 64 26 ,social4.pontevedra@xustiza.gal ,FERNANDEZ RODRIGUEZ  ARANZAZU
Juzgado de lo Contencioso-Administrativo nº 1 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 56 67  986 80 56 68 ,986 80 56 66 ,contencioso1.pontevedra@xustiza.gal ,COMINGES CACERES  FRANCISCO DE
Juzgado de lo Contencioso-Administrativo nº 2 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 55 76  986 80 55 77 ,986 80 55 82 ,contencioso2.pontevedra@xustiza.gal ,NICOLAS HERRERO  INES
Juzgado de lo Contencioso-Administrativo nº 3 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 55 80  986 80 55 79 ,986 80 55 81 ,contencioso3.pontevedra@xustiza.gal ,LOPEZ LOPEZ  MARIA DOLORES
Juzgado de lo Mercantil nº 1 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 51 63  986 80 51 66 ,986 80 51 55 ,mercantil1.pontevedra@xustiza.gal ,MARQUINA ALVAREZ  MANUEL
Juzgado de lo Mercantil nº 2 ,Rúa Hortas ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 52 68  986 80 52 69 ,986 80 52 70 ,mercantil2.pontevedra@xustiza.gal ,RODRIGUEZ LOPEZ  ROSARIO
Juzgado de lo Penal nº 1 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 56 88  986 80 59 89 ,986 80 56 85 ,penal1.pontevedra@xustiza.gal ,TRASHORRAS GARCIA  JUAN JOSE
Juzgado de lo Penal nº 2 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 56 93  986 80 56 94 ,986 80 56 90 ,penal2.pontevedra@xustiza.gal ,ARAMBURU GARCIA-PINTOS  MIGUEL
Juzgado de lo Penal nº 3 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 56 78  986 80 56 75 ,986 80 56 79 ,penal3.pontevedra@xustiza.gal ,MONTEAGUDO LIMERES  JULIA
Juzgado de lo Penal nº 4 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,886 20 64 15  886 20 64 16 ,886 20 64 19 ,penal4.pontevedra@xustiza.gal ,RUBIDO DE LA TORRE  MARIA BELEN
Juzgado de Vigilancia Penitenciaria nº 2 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 51 43  986 80 51 44 ,986 80 51 41 ,vixilancia2.pontevedra@xustiza.gal ,RIO PARDO  FIDEL JESUS
Juzgado de Menores nº 1 ,Praza Tomás y Valiente  s/n. A Parda ,36004 ,Pontevedra ,Pontevedra ,Galicia ,986 80 56 98  986 80 59 91 ,986 80 56 95 ,menores1.pontevedra@xustiza.gal ,GARCIA PEREZ  MARIA JESUS
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa Fernández Areal  s/n ,36400 ,Porriño (O) ,Pontevedra ,Galicia ,886 21 80 54  886 21 80 55 ,886 21 80 56 ,mixto1.oporrino@xustiza.gal ,FERNANDEZ FERNANDEZ  IRINA
Juzgado de Primera Instancia e Instrucción nº 2 ,Rúa Fernández Areal  s/n ,36400 ,Porriño (O) ,Pontevedra ,Galicia ,886 21 80 61  886 21 80 67 ,886 21 80 63 ,mixto2.oporrino@xustiza.gal ,QUINTAIROS LOUREIRO  LORENA
Juzgado de Primera Instancia e Instrucción nº 3 ,Rúa Fernández Areal  s/n ,36400 ,Porriño (O) ,Pontevedra ,Galicia ,886 21 80 67  886 21 80 69 ,886 21 80 70 ,mixto3.oporrino@xustiza.gal ,CASAS SANTOME  RAQUEL
Juzgado de Primera Instancia e Instrucción nº 1 ,Avda. de Galicia  s/n ,36860 ,Ponteareas ,Pontevedra ,Galicia ,886 21 82 03 ,886 21 82 07 ,mixto1.ponteareas@xustiza.gal ,LABORDA RODRIGUEZ  JUAN
Juzgado de Primera Instancia e Instrucción nº 2 ,Avda. de Galicia  s/n ,36860 ,Ponteareas ,Pontevedra ,Galicia ,886 21 82 10  886 21 82 11 ,886 21 82 14 ,mixto2.ponteareas@xustiza.gal ,PASTOR PINILLA  CARMEN
Juzgado de Primera Instancia e Instrucción nº 3 ,Avda. de Galicia  s/n ,36860 ,Ponteareas ,Pontevedra ,Galicia ,886 21 82 17 ,886 21 82 21 ,mixto3.ponteareas@xustiza.gal ,LOPEZ CARREGAL  IRIA
Juzgado de Primera Instancia e Instrucción nº 1 ,Rúa da Xunqueira  2 ,36800 ,Redondela ,Pontevedra ,Galicia ,886 21 81 87  886 21 81 88 ,886 21 81 89 ,mixto1.redondela@xustiza.gal ,GARCIA BLANCO  LAURA
Juzgado de Primera Instancia e Instrucción nº 2 ,Rúa da Xunqueira  2 ,36800 ,Redondela ,Pontevedra ,Galicia ,886 21 81 94  886 21 81 95 ,886 21 81 96 ,mixto2.redondela@xustiza.gal ,FERRADAS NOVOA  LARA
Juzgado de Primera Instancia e Instrucción nº 1 ,Praza da Inmaculada  s/n ,36700 ,Tui ,Pontevedra ,Galicia ,886 21 82 39  886 21 82 37 ,886 21 82 41 ,mixto1.tui@xustiza.gal ,LAPEÑA AZURMENDI  JAVIER
Juzgado de Primera Instancia e Instrucción nº 2 ,Praza da Inmaculada  s/n ,36700 ,Tui ,Pontevedra ,Galicia ,886 21 82 44  886 21 82 46 ,886 21 82 48 ,mixto2.tui@xustiza.gal ,CABIDO QUINTAS  ANA ISABEL
Juzgado de Primera Instancia e Instrucción nº 3 ,Praza da Inmaculada  s/n ,36700 ,Tui ,Pontevedra ,Galicia ,886 21 82 54  886 21 82 56 ,886 21 82 58 ,mixto3.tui@xustiza.gal ,FERNANDEZ MOLINOS  TERESA AURORA
Audiencia Provincial Penal nº 5 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 71 63  986 81 71 62 ,986 81 71 65 ,seccion5.ap.pontevedra@xustiza.gal ,BARRIENTOS MONGE  LUIS
Audiencia Provincial Civil nº 6 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 73 88  986 81 73 89 ,986 81 73 87 ,seccion6.ap.pontevedra@xustiza.gal ,FERNANDEZ SOTO  MAGDALENA
Juzgado de Primera Instancia nº 1 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 75 15  986 81 75 17 ,986 81 75 19 ,instancia1.vigo@xustiza.gal ,CASTRO MARTINEZ  MARIA ISABEL
Juzgado de Primera Instancia nº 2 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 75 28  986 81 75 29 ,986 81 75 31 ,instancia2.vigo@xustiza.gal ,MARTINEZ PATO  MARIA BELEN
Juzgado de Primera Instancia nº 3 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 75 22  986 81 75 23 ,986 81 75 25 ,instancia3.vigo@xustiza.gal ,CRUZ ALVAREZ  ROBERTO DE LA
Juzgado de Primera Instancia nº 4 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 78 41  986 81 78 42 ,986 81 78 44 ,instancia4.vigo@xustiza.gal ,PEREIRA COSTAS  MANUEL ANGEL
Juzgado de Primera Instancia nº 5 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 75 06  986 81 75 07 ,986 81 75 09 ,instancia5.vigo@xustiza.gal ,SALVADOR MATEOS  MARIA DEL CARMEN
Juzgado de Primera Instancia nº 6 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 75 01  986 81 75 02 ,986 81 75 03 ,instancia6.vigo@xustiza.gal ,ALVAREZ LAGARON  MARIA DE LA LUZ
Juzgado de Primera Instancia nº 7 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 93  986 81 74 94 ,986 81 74 96 ,instancia7.vigo@xustiza.gal ,LOPEZ MOURELLE  LORENA
Juzgado de Primera Instancia nº 8 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 87  986 81 74 88 ,986 81 74 90 ,instancia8.vigo@xustiza.gal ,ALVAREZ GARCIA  SUSANA MARIA
Juzgado de Primera Instancia nº 9 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 81  986 81 74 82 ,986 81 74 84 ,instancia9.vigo@xustiza.gal ,GRANDAL QUINTANA  LIDIA
Juzgado de Primera Instancia nº 10 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 75  986 81 74 76 ,986 81 74 78 ,instancia10.vigo@xustiza.gal ,MUÑOZ MARTIN  ANA ARACELI
Juzgado de Primera Instancia nº 11 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 11  986 81 74 10 ,986 81 74 07 ,instancia11.vigo@xustiza.gal ,COMESAÑA ALVAREZ  MIGUEL ANGEL
Juzgado de Primera Instancia nº 12 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 78 96  986 81 78 97 ,986 81 78 99 ,instancia12.vigo@xustiza.gal ,MARTINEZ URREA  MARIA DE LOS ANGELES
Juzgado de Primera Instancia nº 13 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 78 67  986 81 78 66 ,986 81 78 69 ,instancia13.vigo@xustiza.gal ,DASI DORELLE  ENCARNACION
Juzgado de Primera Instancia nº 14 ,Rúa de Pizarro ,36209 ,Vigo ,Pontevedra ,Galicia ,886 21 84 12  886 21 84 13 ,886 21 84 15 ,instancia14.vigo@xustiza.gal ,RODRIGUEZ LOZANO  TANIA
Juzgado de Primera Instancia nº 15 ,Ronda de Don Bosco  1 ,36209 ,Vigo ,Pontevedra ,Galicia ,886 21 84 72  886 21 84 73 ,886 21 84 74 ,instancia15.vigo@xustiza.gal ,TOMAS LOPEZ  DANIEL
Juzgado de Primera Instancia nº 16 ,Rúa de Pizarro ,36209 ,Vigo ,Pontevedra ,Galicia ,886 21 89 19  886 21 89 12 ,886 21 89 17 ,instancia16.vigo@xustiza.gal , 
Juzgado de Instrucción nº 1 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 73 01  986 81 73 04 ,986 81 73 05 ,instrucion1.vigo@xustiza.gal ,SEGADE BLANCO  MARIA CONCEPCION
Juzgado de Instrucción nº 2 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 73 08  986 81 73 09 ,986 81 73 11 ,instrucion2.vigo@xustiza.gal ,COSTA DE CASO  DIEGO
Juzgado de Instrucción nº 3 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 73 13  986 81 73 15 ,986 81 73 17 ,instrucion3.vigo@xustiza.gal ,LOPEZ MARTINEZ  MARIA SOL
Juzgado de Instrucción nº 4 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 73 19  986 81 73 20 ,986 81 73 23 ,instrucion4.vigo@xustiza.gal ,CARBALLAL PARADELA  JUAN CARLOS
Juzgado de Instrucción nº 5 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 73 25  986 81 73 28 ,986 81 73 29 ,instrucion5.vigo@xustiza.gal ,FERNANDEZ PAZ  MARIA JESUS
Juzgado de Instrucción nº 6 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 73 31  986 81 73 34 ,986 81 73 35 ,instrucion6.vigo@xustiza.gal ,MANZANARES SAAVEDRA  MARIA EUGENIA
Juzgado de Instrucción nº 7 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 78 89  986 81 78 91 ,986 81 78 93 ,instrucion7.vigo@xustiza.gal ,GARCIA CAMPOS  MARIA DEL CARMEN
Juzgado de Instrucción nº 8 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 78 80  986 81 78 83 ,986 81 78 78 ,instrucion8.vigo@xustiza.gal ,RODRIGUEZ DE VICENTE-TUTOR  SANTIAGO
Juzgado de lo Social nº 1 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 71  986 81 74 70 ,986 81 74 72 ,social1.vigo@xustiza.gal ,DIAZ ALVAREZ  JOSE MANUEL
Juzgado de lo Social nº 2 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 63  986 81 74 64 ,986 81 74 66 ,social2.vigo@xustiza.gal ,SERRANO ESPINOSA  GERMAN MARIA
Juzgado de lo Social nº 3 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 57  986 81 74 58 ,986 81 74 60 ,social3.vigo@xustiza.gal ,IGLESIAS MARTINEZ  SANDRA MARIA
Juzgado de lo Social nº 4 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 51  986 81 74 52 ,986 81 74 54 ,social4.vigo@xustiza.gal ,LOPEZ MOLEDO  MARIA DEL CARMEN
Juzgado de lo Social nº 5 ,Rúa Lalín  4 ,36209 ,Vigo ,Pontevedra ,Galicia ,986 81 74 45  986 81 74 46 ,986 81 74 48 ,social5.vigo@xustiza.gal ,LARA ALONSO-BURON  DIEGO JOSE DE
Juzgado de lo Social nº 6 ,Travesía da Coruña  2 ,36208 ,Vigo ,Pontevedra ,Galicia ,886 21 84 30  886 21 84 31 ,886 21 84 32 ,social6.vigo@xustiza.gal ,COUSELO BARRIO  ALEJANDRO
